Symbol,Name,News1,News2,News3,News4,News5,News6,News7,News8,News9,News10,News11,News12,News13,News14,News15
00005,HSBC%20HOLDINGS,Leaks shed light on tax dodges in Swiss accounts at HSBC Holdings,Growth slows for HSBC in Hong Kong,HSBC Global Asset Management targets commodity exporters&#039; bonds,HSBC boss hid US$7m in Swiss account to &#039;protect&#039; him from Hong Kong staff,Li Ka-shing’s Cheung Kong seeking up to HK$55 billion in loan for new property firm,Cheung Kong pays HK$14b for UK rail firm,HSBC profit falls 17 per cent as restructuring pushes up costs,Hong Kong and HSBC under scrutiny as US cracks down on American tax cheats,Read all about it in the new history of HSBC,Kaisa faces longer payment terms in debt overhaul,,,,,
00011,HANG%20SENG%20BANK,Hang Seng Bank stock jumps on report it may sell stake in Chinese bank,Hang Seng Bank sells off HK$15.79 billion stake in Industrial Bank,"Hang Seng Bank net profit tumbles 43 per cent, near bottom of market expectations",Customer endures 40 minutes of madness at Hang Seng Bank,PRESS DIGEST- Top stories in Hong Kong and mainland China newspapers on February 25,HK bank stocks surge on talk of buyouts,PRESS DIGEST- Top stories in Hong Kong and mainland China newspapers on March 17,PRESS DIGEST- Top stories in Hong Kong and mainland China newspapers on February 17,Business conditions in Hong Kong private sector show signs of improvement,"HKMA passes first Basel banking test, raises cap requirement for five lenders",,,,,
00023,BANK%20OF%20E%20ASIA,Bank of East Asia raises HK$6.57 billion in share placement to Sumitomo Mitsui,Bad loans in China see BEA net profit grow just 0.7pc,"RBS eyes sale of most of Asia corporate banking business, source says","Asia Infrastructure Investment Bank is not just about politics, it is about business too",Commodity financing exposure in Asia-Pacific hits banks hard,JP Morgan executives linked to Asia hiring probe to leave bank,Assets under management growth slows in Asia as Chinese net worth falls,PRESS DIGEST- Top stories in Hong Kong and mainland China newspapers on February 12,Central bank peer pressure seen as factor in rush to cut Asian rates,US hedge fund Elliott Advisers challenges BEA&#039;s sale of stake to Sumitomo,,,,,
00416,BANKOFJINZHOU,,,,,,,,,,,,,,,
00440,DAH%20SING,"Dah Sing Financial posts 15.2pc profit growth, hit by mainland China impairments",Ping An Bank eyes 60 hirings in Hong Kong push,HK bank stocks surge on talk of buyouts,Bank of China finds few bidders for Hong Kong&#039;s Nanyang unit,,,,,,,,,,,
00626,PUBLIC%20FIN%20HOLD,British Prime Minister David Cameron holds his own in TV debate,Sky&#039;s near the limit above Hong Kong&#039;s airport as holding times increase,Putin to hold talks with Chinese presidential aide,North Korea to hold rare parliament session; analysts say food shortage will top agenda,"Pitch invaders, pints and painted ladies: Hong Kong Sevens fever takes hold",Private equity funds hold promise for institutional investors in Asia,Two of Xi Jinping&#039;s associates promoted to key public security ministry posts,"China may hold war parade at Marco Polo bridge, site of first conflict with Japan",Fund managers may sell holdings to pay US$4 billion in taxes to China,India&#039;s advances in decentralised growth hold lessons for the rest of Asia,,,,,
00939,CCB,Swiss finance minister says China Construction Bank to open branch,"Dalian Port, China Financial Services to launch dim sum bonds",Chinese smartphone maker Coolpad Group goes all out in 4G push,"China brokerages expect to report strong profit growth, but can it last?",Lower oil prices boost for China,Hong Kong retail sales plunge in biggest drop since 2003 Sars epidemic,,,,,,,,,
00998,CITIC%20BANK,How Citic Bank traded rapid growth for bad loans,How China Citic Bank International is giving underprivileged children a chance to learn,PRESS DIGEST- Top stories in Mainland China newspapers on February 6,Banks act on holiday demand for yuan,Sneak peek on China bank earnings offers worrying credit cost picture,PRESS DIGEST- Top stories in Hong Kong and mainland China newspapers on March 13,Sneak peak on China bank earnings offers worrying credit cost picture,Two PwC accountants appointed to secure Missha assets,China&#039;s mid-tier lenders still caught in the shadows,China logistics company helps small businesses with hard-to-get loans,,,,,
01111,CHONG%20HING%20BANK,HK banks launch fresh fight for yuan deposits,Bank of China finds few bidders for Hong Kong&#039;s Nanyang unit,PRESS DIGEST- Top stories in Hong Kong and mainland China newspapers on March 3,PRESS DIGEST- Top stories in Hong Kong and mainland China newspapers on March 5,Taiwan seeks involvement in Beijing-led Asian infrastructure bank,"Hong Kong actively seeking to join Asian infrastructure bank, says financial secretary",Banks print millions of new notes to ensure lai see packets are stuffed for holidays,China stocks stumble after reserve requirement ratio cut,Medical Sector Not Feeling Reform Package and Have Ming Pao’s Worst Fears Come True? ,New CICC chief faces challenges in returning investment bank to glory days,,,,,
01216,ZYBANK,,,,,,,,,,,,,,,
