Symbol,Name,News1,News2,News3,News4,News5,News6,News7,News8,News9,News10,News11,News12,News13,News14,News15
00005,HSBC%20HOLDINGS,HSBC to lower MPF fees in Hong Kong to 0.75pc,HSBC considering sale of Lebanese unit to Lebanon’s Blom Bank,HSBC shares rally to a six-month high after executing HK$105m share buyback in London,HSBC forex officials arrested in New York on criminal wire fraud charges in currency case,Top US officials rejected push to prosecute HSBC over fears of financial stability,"China on track for annual growth target, Asian Development Bank says",Hong Kong stocks slump ahead of golden week holiday and US presidential debate,Three big banks in Hong Kong post sharp profit fall,Directors’ disposals rebound in Hong Kong as buying falls,"Hang Seng ends higher for the week, bolstered by Bank of England easing, gains in HSBC",,,,,
00011,HANG%20SENG%20BANK,Hang Seng Bank opens Qianhai venture to sell mutual funds to 1.3 billion people,"Hang Seng Bank’s a good start, but Qianhai still needs to go much further to attract big international names",Hang Seng Bank’s 1st-half profit tumbles 60pc,"Hang Seng Index reclaims 23,000 on banking sector gains","Hang Seng ends higher for the week, bolstered by Bank of England easing, gains in HSBC",Hang Seng Index powers ahead to 3-month-high before Bank of England rate decision,Three big banks in Hong Kong post sharp profit fall,AIA offers cuts in MPF fees for companies employing disabled staff,HKT adds its heavyweight support to Apple Pay,98 per cent of top company secretaries say it is hard for firms to open bank accounts in Hong Kong,,,,,
00023,BANK%20OF%20E%20ASIA,Hedge fund Elliott Advisors’ case against Bank of East Asia comes to court,"Postal Savings Bank prices Asia’s largest IPO at HK$4.76 a share, brokers say",Why the days of Western banks in Asia are clearly numbered,Bank of America to cut Asia investment banking jobs,Bank of East Asia pushes ahead with cost saving programme as pre-tax profit dips 30pc in first half,Bank of East Asia facing questions over its anti-money laundering controls after 70 million yuan in transfers,Tech firms and banks top list of Asia’s 10 largest companies,International private banks fight to manage assets of Asia’s wealthy,"Banks pump billions into deforestation-linked firms in Southeast Asia, study claims",Asia’s infrastructure problem is not what you think,,,,,
00416,BANKOFJINZHOU,,,,,,,,,,,,,,,
00440,DAH%20SING,Hong Kong Life leverages combined resources of partners to compete with larger rivals,Two thirds of Grade-A offices sold in Hong Kong over past six months snapped up by mainland buyers,Chinese investors make a beeline for overseas hotel assets,Hong Kong office market gets fresh impetus from flurry of deals by mainland buyers,Hong Kong insurers brace as they become acquisition targets,HK$58 billion and rising: mainland buyers splash out on assets and land in Hong Kong as yuan devaluation fears linger,"Buy a home that’s ‘unique and scarce’, says Savills chief",,,,,,,,
00626,PUBLIC%20FIN%20HOLD,How the ‘Jaws’ movie score scarred our psyche forever- and why it may be bad for sharks,Fintech – the next frontier for Hong Kong’s battle with Singapore?,HKMA embraces FinTech as it burnishes Hong Kong’s brand to compete as Asia’s financial hub,Taiwan’s Foxconn buys 0.4pc stake in Didi for US$119.9mn,No to shark fin: China’s biggest shipping line Cosco pledges total ban on carrying product,China’s first state awards for poverty reduction questioned after ‘abnormalities’ in online public vote,DAB lawmaker admits he suggested the government scale down controversial Yuen Long public housing project,Hong Kong leader denies holding secret talks with rural leaders over Yuen Long development plan,Pole dancing middle-aged woman puts on show on public bus in China,Cathay Pacific right to introduce ban on shark-fin cargo,,,,,
00939,CCB,China’s major banks look to non-interest income for growth as rates liberalisation crimps profit margins,Tech firms and banks top list of Asia’s 10 largest companies,"Chinese banks need new growth drivers as interest incomes falls, says PwC",Bourses respond positively to Chinese banks’ improved bad debt figures,‘Big five’ banks tipped as best mainland bets,Construction Bank posts first-half earnings surprise as it keeps bad loans in check,China’s state-owned banks cut thousands of jobs as profit growth slows,Jiangxi Copper’s 1H profit falls as weak metal prices crimp earnings,,,,,,,
00998,CITIC%20BANK,"China’s economy shows more signs of strengthening as industrial output picks up, investment holds steady","China’s industrial profits growth hits 3-year high as steel, auto earnings surge",Chinese CPI to moderate further but no easing policies in sight,"HSBC, 11 other banks sharpen focus on fintech innovation",Citic posts 46.4pc interim profit slump,"Minsheng Bank’s interim net profit rises 1.7 per cent, helped by fees and commissions",Shadow banking crackdown to hit smaller banks hardest,China falls back on fiscal stimulus to revive growth in ailing northeast rust belt,Citic Ltd warns interim profits to fall by up to 50 per cent,"Standard Chartered, China Merchants sign One Belt, One Road agreement",,,,,
01111,CHONG%20HING%20BANK,Hong Kong Life leverages combined resources of partners to compete with larger rivals,‘Overwhelming’ interest in auction for Rafael’s Hui’s Hong Kong memorabilia collection,Get a piece of Hong Kong history at auction of Rafael Hui’s personal collection,"Hong Kong, China stocks down as lack of southbound flow leaves market directionless",Could this be Canada’s first ethnic Chinese prime minister?,Ping An Puhui sees growth in tapping China’s blue-collar workers and small businesses,Hong Kong stocks flat as investors wind down for mainland holiday,Progress of global tech tariff cuts may hinge on China’s G20 efforts,Hong Kong running group going the distance for the city’s sexual minorities,Hong Kong stocks slip as interest rate rise prospects remain uncertain,,,,,
01216,ZYBANK,,,,,,,,,,,,,,,
