Symbol,Name,News1,News2,News3,News4,News5,News6,News7,News8,News9,News10,News11,News12,News13,News14,News15
00005,HSBC%20HOLDINGS,"Bank of Shanghai, China Everbright plan to go public in Hong Kong",Time to stop bosses dipping their fingers into the MPF,Exclusive: deal for HSBC&#039;s Ping An stake to be rejected,U.K. banks told to raise an extra £25b,Unscathed Bank of East Asia to kick off earnings season,CDB appoints new Hong Kong boss after Ping An loan probe,The Beijing News&#039; night of sorrow,Exclusive: HSBC sale of Ping An stake in limbo as state bank backs off loan support,HSBC executives cash in shares worth HK$46m,Exclusive: CDB branch chief suspended over Ping An deal,,,,,
00011,HANG%20SENG%20BANK,Hang Seng Bank marks 80th anniversary with 15pc profit rise,Hang Seng Bank raises mortgage rates,Hang Seng to continue cross-border expansion,Small banks may gain from rate wait,Further mortgage rate rise &#039;could cut home prices by 20pc in two years&#039;,Property firms take hit from rate rise,Hong Kong banks to undergo mortgage loan checks,Yuan deposits set to leap to one trillion by end of 2013,Mortgage rate hikes add note of caution to markets,"30-storey office tower sold for HK$3b in Mong Kok, Hong Kong",,,,,
00023,BANK%20OF%20E%20ASIA,Bank of East Asia FY profit jumps 39pc ,Bank of East Asia profit soars to HK$6.1b,Unscathed Bank of East Asia to kick off earnings season,One-off items take Bank of East Asia to record profit ,Asia Development bank boss supports further BOJ easing measures,AsiaSat seeks US$306m financing from US Export-Import Bank,"Ample liquidity to keep loan spreads tight in Asia, says ING","A Good Week for..., February 24, 2013",Asia to trade views on Basel III,Homebuyers may face tougher mortgage stress test,,,,,
00416,BANKOFJINZHOU,,,,,,,,,,,,,,,
00440,DAH%20SING,Chairman adds to holdings in Dah Sing amid active trading,"Bank of Shanghai, China Everbright plan to go public in Hong Kong",Expectations high as results season begins for banks,Cash deposit machines are crooks&#039; latest target in ATM scam,US beefs up its system to make visa process easier,Small banks may gain from rate wait,Big banks worry as mortgage interest rate gaps opens with smaller lenders,,,,,,,,
00626,PUBLIC%20FIN%20HOLD,Runners take their case for shark fin ban to Hong Kong&#039;s big marathon,"Letters to the Editor, January 15, 2013",Taiwanese institutions forgo lavish New Year banquets,Shark fin traders must disclose their sources,Green coalition calls for formal ban on shark fin in Hong Kong,Outrage over ‘shark fin rooftop’,A Message About the Rooftop Shark Fin Scandal,"Business Digest, February 6, 2013",Exclusive: &#039;Princeling&#039; firm holds secret stake in giant fund house Cinda,Arena holds government accountable for spectrum issue,,,,,
00939,CCB,CCB says greater competition set to hurt growth,CCB expects loan quality to remain stable this year,CCB eyes bigger Taiwanese bank stake,CCB bids for Dutch bank&#039;s Indonesia operation,HKEx expected to see earnings fall up to 20pc,Homebuyers may face tougher mortgage stress test,Learning to lend beyond the industrial blacklist,Huge losses at Li Ning sow seeds of worry,China Life Insurance expects 40pc dive in earnings,Market Close: Hang Seng rises to 19-month high,,,,,
00998,CITIC%20BANK,"Citic Bank drops, plans to step up retail business",Citic Bank posts flat earnings as peers take flight,&#039;Modest default risk&#039; in property price slump,Small lenders battered by wealth product rules,Customers no longer bank on safe boxes,ICBC fundraising worries investors,Investors wary of new QDII prospects,Hong Kong stocks end 0.17pc higher,Lenders give Citic full backing for Macau buy,Citic takes control of CTM for US$1.16b,,,,,
01111,CHONG%20HING%20BANK,Chong Hing rises after &#039;for sale&#039; notice,Small banks may gain from rate wait,Wing Hang generous on payment despite 16pc decline in net profit,Expectations high as results season begins for banks,Cash deposit machines are crooks&#039; latest target in ATM scam,New advisory body aims to promote financial services,University gains Legco support over land use,"Hong Kong may have to import workers to build homes, Leung says",Head of Wah Yan College &#039;too busy&#039; to defame teacher,&#039;Non-elderly&#039; singles may get priority for rental flats,,,,,
01216,ZYBANK,,,,,,,,,,,,,,,
01288,ABC,Prisoner X arrested after leaking Mossad work: ABC,Israel censor eases some restrictions over ‘Prisoner X’,"&#039;Prisoner X&#039; died by hanging in shower, says Israeli court",AgBank adds traders for dim sum sales,PM Gillard may ink Australian dollar-yuan currency conversion pact: report,Senior officer lashes Australia’s ‘neglect’ of abuse victims,Cruise captain tells of French yachtsman&#039;s ocean rescue drama,Australia&#039;s Crown Casino hit for A$32m in &#039;Oceans Eleven-style&#039; sting,Australia firefighters race to beat heat spike,Obama’s popularity highest in four years: poll,,,,,
01398,ICBC,Goldman Sachs raises US$1b in ICBC share sale,"Business Digest, January 16, 2013",&#039;Too big&#039; ICBC announces slowdown in growth,ICBC fundraising worries investors,Profit-taking likely as Hang Seng Index hits 21-month high,Outgunning the West,"Market Open: Hong Kong may dip on share placements, earnings fears",Hang Seng soars as mainland rally excites investors,Big Four&#039;s new-loans quota for 2013 &#039;close to 3tr yuan&#039;,Learning to lend beyond the industrial blacklist,,,,,
01551,GRCB,,,,,,,,,,,,,,,
01578,BANK%20OF%20TIANJIN,Chinese officials rush to withdraw US dollars and sell property as anti-graft war looms,Four more cities issue property cooling measures,Leung Chun-ying has Hong Kong on his mind in Tianjin,Market Open: &quot;Through-train&quot; scheme tipped to boost Hong Kong stocks,Investors wary of new QDII prospects,Sogo operator banks on mainland shoppers&#039; sprees,Yuan deposits set to leap to one trillion by end of 2013,Clean technology equity firm cuts funding target,Sunac China fundraising plan pushes down stock,Cosco arm may dip toe into leasing,,,,,
01658,PSBC,,,,,,,,,,,,,,,
01963,BCQ,,,,,,,,,,,,,,,
01988,MINSHENG%20BANK,Market Open: Hang Seng seen higher on positive US data,"Market Open: Profit taking, earnings worries to undermine Hang Seng",Citic Bank posts flat earnings as peers take flight,Minsheng net profit below market expectations,ICBC fundraising worries investors,Beijing told to make it easier for state banks to lend to SME firms,&#039;Modest default risk&#039; in property price slump,Small lenders battered by wealth product rules,Hong Kong stocks fall 0.34pc,Rebound hopes buoy Shanghai stock index,,,,,
02016,CZBANK,,,,,,,,,,,,,,,
02066,SHENGJINGBANK,,,,,,,,,,,,,,,
02356,DAHSING%20BANKING,,,,,,,,,,,,,,,
