Symbol,Name,News1,News2,News3,News4,News5,News6,News7,News8,News9,News10,News11,News12,News13,News14,News15
00005,HSBC%20HOLDINGS,Five bank branches in Hong Kong shut due to Occupy Central disruptions,HSBC Swiss unit accused of fraud and laundering,HSBC and Standard Chartered face tougher UK stress test in 2015,China eases rules on foreign banks in branch openings,HSBC and Goldman Sachs accused of rigging platinum and palladium prices,StanChart banks on long-term benefits from sustainability work,StanChart and HSBC escape British tax move,Review urged on future role of Hong Kong dollar,New rules put an end to &#039;too big to fail&#039; banks,Iron ore prices decline as Apec curbs stunt demand in China,,,,,
00011,HANG%20SENG%20BANK,Hang Seng bank volunteers help out at primary school for charity,Five bank branches in Hong Kong shut due to Occupy Central disruptions,Hong Kong banks ready to capitalise on expected flood of yuan into city,Shrinking workforce not all that it seems,Bank forecasts 3.3pc growth,Mainland China developer Country Garden signs HK$4.5 billion club loan to cut borrowing costs,Through train a catalyst for removal of yuan exchange cap,Hong Kong athletes did city proud at Asian Games,On the market pulse,Consumer confidence in Hong Kong rises as China economy stabilises,,,,,
00023,BANK%20OF%20E%20ASIA,European banks returning to Asia with fresh capital,New Asia bank part of China&#039;s agenda,"Tencent ready to launch China&#039;s first private internet bank, WeBank",World Bank trims growth forecasts for developing East Asia and China,Barclays hiring in Asia despite cutting jobs elsewhere,Cofco Land Holdings to issue bond to finance asset acquisition from parent firm,Ex-bank manager jailed for stealing HK$65 million from clients&#039; accounts,Western private banks facing growing regional challenge,"Global banking industry finally returns to profit, BCG study shows",HSBC and Standard Chartered face tougher UK stress test in 2015,,,,,
00416,BANKOFJINZHOU,,,,,,,,,,,,,,,
00440,DAH%20SING,Dah Sing Bank basketball challenge boosts Operation Santa Claus,Banks raise offshore yuan deposit rates ahead of through train scheme,Henry Steiner: the king of graphic design,,,,,,,,,,,,
00626,PUBLIC%20FIN%20HOLD,Kennedy Town MTR station opens but not everyone is happy with the pace of change,China and Japan try to move away from the past- while holding on to it,Birmingham City holding company fires CEO Peter Pannu,"Letters to the Editor, December 27, 2014",Author Xu Xi offers Hong Kong public tips on writing at CityU workshops,Fifa to hold fresh review into investigation of alleged World Cup bid corruption,Police urge public to return highway cash as HK$9 million is still missing,Jesse Jackson holds Silicon Valley summit on improving diversity in the tech industry,Developer Kaisa plans to restore public float,Hong Kong trading in Birmingham City holdings company suspended after online tirade by director,,,,,
00939,CCB,China Agri-Products Exchange seeks to raise to HK$1.4b in bond issue,The Principal proves benefits of privatised retirement solutions,Top Chinese leaders stress &#039;new normal&#039; growth,Haitong Securities&#039; talks with Portuguese bank may mark start of China&#039;s European rush,Higher bad-loan rates tipped for Bank of China and Agricultural Bank,Slow recovery the new trend,China deposit insurance scheme a big risk as mainland bank shares soar on plan,Leveraged China developers to benefit from PBOC&#039;s interest rate cuts,China&#039;s central bank surprises markets with lending rate cut to 5.6 per cent,,,,,,
00998,CITIC%20BANK,Citic Bank aims to raise 11.9b yuan in share placement to tobacco firm,CLSA to leverage Citic access in global investment banking push,Citic and its peers bear brunt of NPLs,"China’s financial stocks surge, inspired by Shanghai-Hong Kong stock plan",China&#039;s traditional lenders meet their match in internet banking,Investors pile into China banks despite bad-loan risks,Citic still crucial to mainland China reforms,Worries over PBOC&#039;s ambitious bid to liberalise deposit rates,Mainland rate cut likely to slow decline in home prices,China deposit insurance scheme a big risk as mainland bank shares soar on plan,,,,,
01111,CHONG%20HING%20BANK,Banker who stole HK$7m from customers is jailed three years,"For sale: The Beatles, jazz and blues records from shamed Rafael Hui’s extensive record collection",Effectiveness of mainland housing policy easing hinges on banks,Bank invests in Hong Kong&#039;s charity management with NGO course,Everbright overhaul seen as part of wider reform of state firms,China&#039;s traditional lenders meet their match in internet banking,Haitong Securities&#039; talks with Portuguese bank may mark start of China&#039;s European rush,Arts preview: Black Monday depicts the issue of work-related stress with humour,"RainLily rape crisis centre offers victims safety, support",Swire Properties organises Christmas fair to raise money for Operation Santa Claus,,,,,
01216,ZYBANK,,,,,,,,,,,,,,,
