Symbol,Name,News1,News2,News3,News4,News5,News6,News7,News8,News9,News10,News11,News12,News13,News14,News15
00005,HSBC%20HOLDINGS,HSBC finance unit to book US$585 million charge for lawsuit settlement,"HSBC lays out reshaped investment banking unit; creates corporate, financials and multinationals group",HSBC woes show no let-up as US finds banking giant coming up short of money laundering vigilance,Canada’s RBC will set up team to scour bank records for links to Panama Papers law firm,"HSBC, Stanchart shares plunge in Hong Kong as Brexit vote sees ‘Leave’ camp ahead",HSBC expanding retail banking business in China’s Guangdong province,New Hong Kong ETF will track the 35 largest companies with least exposure to China risk,"Who’s at risk in Brexit? UK-exposed banks and utilities among Hong Kong stocks most vulnerable, analysts say",Hong Kong stocks extend gains as Brexit fears continue easing,Hong Kong stocks rally as Brexit momentum shifts towards ‘remain’; Shanghai stocks end little changed,,,,,
00011,HANG%20SENG%20BANK,"Industrial Bank finds a way to pass on local government bond burden, by selling them on to P2P customers",Hong Kong brands make up only a quarter of locals’ top 100,"From bullets to cash machines, HSBC’s 151-year history is closely aligned with the evolution of Hong Kong",Hong Kong police hunt for masked robber in botched bank heist,Hong Kong banks well prepared for coming downturn,PapayaMobile pursues global growth strategy after raising US$40m in IPO,Hong Kong political party finds its name Demosisto has been registered... as a game,Yuan weakens further on tepid economic data and rate-hike gloom,Hong Kong’s hotels and members of the public rally round in support of blaze victims and fire crews,Chambers unite over tighter Hong Kong bank rules ,,,,,
00023,BANK%20OF%20E%20ASIA,Are BEA’s mass sackings just the tip of the iceberg for Hong Kong?,Credit Suisse banks on Asia’s long-term growth,Harvard MBA student pitches idea of P2P lending start-up Funding Societies to CEO of major bank in Asia- and hits a homer ,Private Banking Listings,Further gloom: More Hong Kong layoffs forecast in wake of Bank of East Asia sackings,Bank of East Asia’s David Li wants the Hong Kong lender to stay independent long after he is gone,Bank of East Asia network outage knocks out services at 12 Hong Kong branches,Start-up wins top Hong Kong ICT award for sales platform aiding small businesses ,Three key Asia central bank decisions to watch this week,Banks to boost financial technology projects in Asia-Pacific as China drives investment,,,,,
00416,BANKOFJINZHOU,,,,,,,,,,,,,,,
00440,DAH%20SING,Dah Sing closes higher in Hong Kong on agreement to sell insurance unit for HK$10.6 billion,Shanghai developer eyes selling insurance products to Chinese homebuyers with Hong Kong’s Dah Sing Life bid,Chinese stocks snap six-week losing streak but gains not seen as sustainable amid weaker yuan risk,More Chinese property developers eye Hong Kong sites,MasterCard looks to boost adoption of in-app mobile payment services in Hong Kong,Failing Grade: Hong Kong Students Can&#039;t Stop Paying Cram Kings,,,,,,,,,
00626,PUBLIC%20FIN%20HOLD,Why a ban on transporting all shark fin remains the best way to revive threatened species,Hong Kong airlines Cathay Pacific and Dragonair impose total ban on carriage of shark fin,Audi RS6 Avant more suited to cross-border driving than Hong Kong roads,HK Express becomes first Hong Kong airline to ban shark fin cargo,Chinese city puts plans for waste-burning plant on hold as protesters take to the streets,Public invited to funeral for second Hong Kong firefighter to die in Ngau Tau Kok blaze,Overwhelming generosity: fire crew unable to finish food and drinks donated by grateful public,"Hold the chop suey: British fans of Chinese cuisine can now eat, and cook, the real thing","Letters to the Editor, May 14, 2016",Stanley Lau – successful businessman and a dedicated public servant,,,,,
00939,CCB,China may ease bad loan provision rules as banks struggle,"China Construction Bank sees rising bad loans, profit up 1.4pc ",Private Banking Listings,"Restaurant review: Howard’s Gourmet, Central – opulent food at a price to match",Alibaba affiliate Ant Financial Services closes record US$4.5b round of financing,"Hong Kong, China stocks close higher after oil price rally",ICBC reports flat quarterly profit growth amid drop in interest income,China’s NetDragon pumps more cash into augmented and virtual reality ,,,,,,,
00998,CITIC%20BANK,"China’s CITIC Bank tries to seize luxury homes in Vancouver, saying buyer fled mainland with illicit cash",Private Banking Listings,"China will need to cut 3.5 million jobs across six core industries as tonic for excess capacity, says UBS",China cleaning up fraud-ridden note market,Hong Kong banks well prepared for coming downturn,Paying by smartphone? New fintech app from JETCO to facilitate small money transfers ,Hong Kong-listed Bank of Tianjin reports 786 million yuan risk case,Banks to boost financial technology projects in Asia-Pacific as China drives investment,Are BEA’s mass sackings just the tip of the iceberg for Hong Kong?,Investors grow shy of China’s public-private projects,,,,,
01111,CHONG%20HING%20BANK,Guangzhou government investment arm puts pressure on Chong Hing Bank to expand faster in mainland China,Pan-democrats to boycott Hong Kong dinner for senior Chinese official,Private Banking Listings,Hong Kong police hunt for masked robber in botched bank heist,China stocks near 2-week high as test run revealed for trading link,How China can avoid a replay of Japan’s lost decades,Gold to ease further if UK remains in EU,"Industrial Bank finds a way to pass on local government bond burden, by selling them on to P2P customers",Hong Kong’s hotels and members of the public rally round in support of blaze victims and fire crews,8 of the best places for stargazing in Asia (and 5 sights Hongkongers can enjoy),,,,,
01216,ZYBANK,,,,,,,,,,,,,,,
