Symbol,Name,News1,News2,News3,News4,News5,News6,News7,News8,News9,News10,News11,News12,News13,News14,News15
01288,ABC,"The ABCs of an MBA in HK, China or beyond",Mathematician claims to have proved the &#039;abc conjecture&#039;,ABC&#039;s album paved the way for Frankie and new pop,Detained banker steps down from ABC,Art in the frame in graft probe,Central Huijin investment unlikely to save the day as bank stocks weaken,How my best-of restaurant lists came off second best,"Australian teen bitten by toxic inland taipan, world&#039;s most venomous snake",Qantas sets break-even hopes on alliance with Emirates,Simplicity the key to drafting laws,,,,,
01398,ICBC,ICBC beats earnings estimates thanks to lower provisions in second quarter,"Market Opener: ICBC, BOCOM in check on rising bad loan concern",Worlds apart on pay scale,Mainland lenders end rate discounts for home loans,Tough rules for beauty contest,Stanchart shares falters on Temasek sell-off move,Citi heats up China credit cards,Central Huijin investment unlikely to save the day as bank stocks weaken,"Wen gives Merkel straight talk on euro crisis: Frankly, I&#039;m worried",AgBank: Looking good as rivals struggle?,,,,,
01551,GRCB,,,,,,,,,,,,,,,
01578,BANK%20OF%20TIANJIN,ANZ may sell stakes in Asian banks,"China on track to meet growth target, Wen Jiabao says",IMF urges faith in euro at World Economic Forum,Alarm bells sound over local government stimulus plans,Early end to Sogo lease hits operator&#039;s shares,HK banks told to remain alert to risks,China to &#039;allow full yuan convertibility&#039; by 2015,Reporting this week,Successive European scandals shock Chinese banks,Severe flooding brings traffic chaos to Tianjin,,,,,
01658,PSBC,,,,,,,,,,,,,,,
01963,BCQ,,,,,,,,,,,,,,,
01988,MINSHENG%20BANK,Asset worries see Minsheng Bank take a tumble,Art in the frame in graft probe,Business Digest,China Citic&#039;s profit rises 29pc but bad debt also mounts,Market Open: Hong Kong stocks seen lower on corporate profit concerns ,Second-liners take the spotlight amid decline in director activity,Hefty price puts ANZ plan to buy HK bank on hold,Liquidity crisis hits mainland steel traders,Fast US$1b raised for China P.E. fund,Hong Kong stocks seen lower as easing speculation played down,,,,,
02016,CZBANK,,,,,,,,,,,,,,,
02066,SHENGJINGBANK,,,,,,,,,,,,,,,
02356,DAHSING%20BANKING,,,,,,,,,,,,,,,
02388,BOC%20HONG%20KONG,Chicago&#039;s CME takes on HKEx in futures for offshore yuan,2012 HKMA Quality Award,CMS considering Hong Kong offering,Bank of China posts sharply lower profit growth,Secret forces of the mysterious, Market Wrap: Hong Kong stocks flat on growth concern; Standard Chartered drops,Dealmakers return to face job nightmare as market outlook worsens,Dealmakers return to face job nightmare ,Asia&#039;s budget airline boom bypasses China," Esprit profit misses forecasts, shares fall 8pc",,,,,
02888,STANCHART,StanChart first to fight US charges,StanChart a victim of Pax Americana,StanChart charges expose absurdity of Iran sanctions,Deloitte chief hits back over &#039;diluted StanChart report&#039;,StanChart aims to boost clients with yuan offerings,StanChart held to high ransom from low moral ground,StanChart extends profit-growth run,Stanchart shares falters on Temasek sell-off move,Stanchart deal may save U.S. operations,Standard Chartered to invest HK$1b on private banking hub,,,,,
03328,BANKCOMM,,,,,,,,,,,,,,,
03618,CQRC%20BANK,,,,,,,,,,,,,,,
03698,HUISHANG%20BANK,,,,,,,,,,,,,,,
03866,BQD,,,,,,,,,,,,,,,
03968,CM%20BANK,Dark side of the mooncake,Growing strong,Asia must lead a second green revolution,,,,,,,,,,,,
03988,BANK%20OF%20CHINA,"Murder, bank fraud &#039;despicable&#039;",Top fugitive surrenders to police after 8 years,Regulator calls for share buy-back,CMS considering Hong Kong offering,Working harder for smaller deals that bear less fruit,Second interest rate cut in month,Rate cut reflects economic task ahead,Property outlook brightens on PBOC cut,London faces liquidity test in yuan-hub bid,Some &#039;gifts&#039; only give so much and come once a bigwig visits,,,,,
06122,JIUTAI%20RCB,,,,,,,,,,,,,,,
06138,HARBIN%20BANK,Hong Kong is having its worst year for listings in a decade,"Morning Clicks, August 28",Talking points,Qatar fund buys into Citic Capital,Don&#039;t just wait for Russia to look East,Focus Media gets US$3.5b buyout offer,China Digest,Breaking the glass ceiling,,,,,,,
06196,BANKOFZHENGZHOU,,,,,,,,,,,,,,,
06818,CEB%20BANK,,,,,,,,,,,,,,,
