Symbol,Name,News1,News2,News3,News4,News5,News6,News7,News8,News9,News10,News11,News12,News13,News14,News15
00005,HSBC%20HOLDINGS,International stock board put on back burner again,Talking points,Stocks head for further losses,E.U. woes see blood on trading floors,"Yongda, Xinchen seeking up to HK$6.24b in IPOs",HSBC postpones review on UK relocation,Esprit goes into tailspin as chief executive exits,Lai See,LIST OF WINNERS,Sell in May and go away? You&#039;d be lucky to break even with this index-linked legend,,,,,
00011,HANG%20SENG%20BANK,Hang Seng investors want bigger payout,Leung again rules out joining government,External learning expands horizons,Let&#039;s hear it for the amazing Joseph Ng,Hang Seng School maintains record of producing the most high-fliers,Global indicators weigh on markets,Lai See,Rate cut hurts the banking sector,Banks lose shine among local business students,"City still has upper hand in region, think tank says",,,,,
00023,BANK%20OF%20E%20ASIA,BEA may issue shares to lift capital,A one-trick pony or master of his realm?,Six degrees,CCB set to integrate its HK operations,LIST OF WINNERS,Credit Suisse eyes business heirs in region,career tracker,Events,Retreat of EU banks could hurt world: IMF,"Real estate, export sectors risky to banks",,,,,
00416,BANKOFJINZHOU,,,,,,,,,,,,,,,
00440,DAH%20SING,Focusing on agents with can-do spirit,11 cornerstone investors back Haitong,Haitong to raise bar on HK listing,Banks oppose call for SFC oversight,,,,,,,,,,,
00626,PUBLIC%20FIN%20HOLD,Low blow,Poor terms,No bite,Letters,Making the most of difficult times,Lack of democracy is holding us back,"ATV chief unfit to hold licence, says watchdog",Tourism holds key to growth,Euro zone holds key to recovery,Germany holds all euro-zone cards,,,,,
00939,CCB,CCB set to integrate its HK operations,CCB cites better loan quality as it weighs risks,Shenzhen and Beijing lead way as sales pick up,Temasek sale jolts top China lenders,Temasek puts US$2.4b shares on the block,Bankers reject Wen&#039;s criticism,View from the top of a state lender,Temasek puts its faith in mainland banks,HSBC first-quarter profit better than expected,Rate cut bolsters market sentiment at new projects,,,,,
00998,CITIC%20BANK,Citic Bank sees rise in yuan deposits,Less appetite for dim sum bonds this year,Smaller mainland banks struggle for deposits,All uphill for BoCom despite rise in profits,Smaller banks join rush to higher deposit rates,Focus on lenders&#039; asset quality,Evidence probe delays fraud trial,Mainland stocks set to see injection of capital,Wary applause as China&#039;s trade soars in May,Return to trade surplus a surprise,,,,,
01111,CHONG%20HING%20BANK,Leung &#039;hasn&#039;t thought about labour laws&#039;,Mainland miner to list Zambian copper assets,Through the revolving door,Global indicators weigh on markets,Fanny Law would consider Exco post,Estate of rice-cooker king sued for HK$1b,Rice-cooker tycoon&#039;s estate sued for HK$1b,&#039;Flawed&#039; net piracy bill may be passed,"HK tops world survey, but rising costs a worry",Lehman criticism played down,,,,,
01216,ZYBANK,,,,,,,,,,,,,,,
01288,ABC,Another banker caught in ABC graft probe&#039;s net,ABC Music,Top Big Four executive to join People&#039;s Bank China,Probe of top banker linked to three others,Banker&#039;s arrest may cause aftershocks in real estate,Beijing anti-graft team on trail of casino losses,Another banking chief in custody,Temasek puts its faith in mainland banks,Copper producer CNMC cuts IPO target to HK$2.4 b,Masters of business reality,,,,,
01398,ICBC,Goldman Sachs sells US$2.5b stake in ICBC,"Loan targets will remain, ICBC says",ICBC posts lacklustre earnings,Top Big Four executive to join People&#039;s Bank China,Temasek puts its faith in mainland banks,Temasek puts US$2.4b shares on the block,Trony keeps investors guessing over its books,Get that MBA from the USA,Bank on convertibility,Banks push up deposit rates after rate cut,,,,,
01551,GRCB,,,,,,,,,,,,,,,
01578,BANK%20OF%20TIANJIN,Group eyes US$1b stake in Tianjin,View from the top of a state lender,Mainland couple sue HSBC over US$5 million loss,Chinatrust eyes small firms on mainland,"St Regis, Tianjin",World Bank blacklists mainland company,Group shuffle may upset HK Air stock offering,Beijing offers sweeteners to Taipei,280b yuan to build basic services,Boom time for developer,,,,,
01658,PSBC,Bank chief linked to loan sharking,Another banking chief in custody,Postal bank scandal kills mega IPO hopes,,,,,,,,,,,,
01963,BCQ,,,,,,,,,,,,,,,
01988,MINSHENG%20BANK,Another banker caught in ABC graft probe&#039;s net,Smaller mainland banks struggle for deposits,Mainland firms likely to delay HK offerings,Smaller banks join rush to higher deposit rates,Wen&#039;s talk spurs small players to dump bank stocks,Another banking chief in custody,Top Big Four executive to join People&#039;s Bank China,Small lenders boom on mainland,Days numbered for monopoly of state firms,Depositors lament profits of doom,,,,,
02016,CZBANK,,,,,,,,,,,,,,,
02066,SHENGJINGBANK,,,,,,,,,,,,,,,
02356,DAHSING%20BANKING,,,,,,,,,,,,,,,
02388,BOC%20HONG%20KONG,China theme underpins World Bank bond fund,Who isn&#039;t underwriting PICC&#039;s stock offering?,Yitai Coal to tap market for US$1.5b,Temasek puts its faith in mainland banks,The HK Magazine All-Hong Kong Pub Quiz,All-Hong Kong Pub Quiz Answers,Temasek sale jolts top China lenders,Letters,View from the top of a state lender,Feud for top job alters,,,,,
02888,STANCHART,StanChart sees yuan fall against US dollar,StanChart sees profit growth dipping below 10pc,Lai See,Lai See,Lai See,,,,,,,,,,
03328,BANKCOMM,,,,,,,,,,,,,,,
03618,CQRC%20BANK,,,,,,,,,,,,,,,
03698,HUISHANG%20BANK,,,,,,,,,,,,,,,
03866,BQD,,,,,,,,,,,,,,,
03968,CM%20BANK,The ever-bigger picture,"In India, progress is a matter of perspective",Money changes over time,No more pretending,Tickled pink,,,,,,,,,,
03988,BANK%20OF%20CHINA,World Bank eyes China&#039;s moneyed class,China theme underpins World Bank bond fund,Another banking chief in custody,Less appetite for dim sum bonds this year,&#039;Yuan scheme needs some big names&#039;,Evidence probe delays fraud trial,Postal bank scandal kills mega IPO hopes,Beijing to foster HK-Shenzhen ties,View from the top of a state lender,Developers shrug off easing denial,,,,,
06122,JIUTAI%20RCB,,,,,,,,,,,,,,,
06138,HARBIN%20BANK,Harbin Bank may be eyeing listing,America the beautiful,,,,,,,,,,,,,
06196,BANKOFZHENGZHOU,,,,,,,,,,,,,,,
06818,CEB%20BANK,,,,,,,,,,,,,,,
