Symbol,Name,News1,News2,News3,News4,News5,News6,News7,News8,News9,News10,News11,News12,News13,News14,News15
00005,HSBC%20HOLDINGS,HSBC private bank bets on new hedge funds in Asia,HSBC expects to increase dividend,StanChart forecast earnings fall stuns market ,13 banks in spotlight after Credit Suisse penalty in US tax probes,Standard Chartered braced for more gloom,Deutsche Bank Hong Kong loses 26 junior bankers since February,US prosecutors want US$3.5 billion to settle BNP Paribas sanctions case,HSBC retail revamp key to end drag of redress on profits,Risky times for fragile five currencies,Asian investors eye HSBC’s headquarters in London,,,,,
00011,HANG%20SENG%20BANK,Through train stock scheme forecast to fuel yuan trade in Hong Kong,Vanke to be early winner in Qianhai,"Acquisitions no easy way for Singaporean banks to win in Hong Kong, mainland China",Hui trial: alleged go-between&#039;s sister-in-law testifies against him,HKEx looks beyond through train stock scheme,Brokers guardedly optimistic about Shanghai&#039;s through train scheme,Islamic finance still a pipe dream for Hong Kong,Reaping the rewards of solid support,Overseas banks push back on HKMA&#039;s new deposit base rule,China Vanke plays catch-up at Qianhai office project,,,,,
00023,BANK%20OF%20E%20ASIA,World Bank warns Asia to be alert against risks from US rate rises,ING has three-pronged plan for boosting commercial banking in Asia,Keeping regulators happy a top priority for banks in Asia,"Chengdu mainland&#039;s most liveable city, says Asia Development Bank",HSBC private bank bets on new hedge funds in Asia,Barclays to begin cutting jobs in the Asia-Pacific,Singapore’s OCBC to buy Wing Hang Bank for HK$38.4b,Deutsche Bank Hong Kong loses 26 junior bankers since February,Dragon boat event hires firm to do head count,"China among countries underinsured against natural disasters, says ADB",,,,,
00416,BANKOFJINZHOU,,,,,,,,,,,,,,,
00440,DAH%20SING,Singapore flexes muscles in bid to acquire assets with China footprint,Hong Kong yuan business lures non-local banks,,,,,,,,,,,,,
00626,PUBLIC%20FIN%20HOLD,"Letters to the Editor, June 21, 2014",Singapore Airlines ends shipments of shark fins,"Ban shark fin imports, Philippine Airlines urged after &#039;illegal&#039; shipment found in Sheung Wan",Nine jailed for terror crimes as Xinjiang holds latest public sentencing,Tide is turning in favour of sharks as conservationists smell victory,"China Resources chief Song Lin sacked as UBS probes banker’s alleged affair, finance ties ",Former China Resources chief Song Lin linked to two tax haven companies,"UBS orders internal probe as banker is named in affair, graft allegations against state firm chairman ",The colourful mainland and Hong Kong history of graft-hit China Resources,Transparent hiring needed in equal opportunity Hong Kong,,,,,
00939,CCB,CCB&#039;s London clearing bank prize seen as a major yuan milestone,"Film review: Z Storm covers no new ground, but has moments of interest",New bond issue signals Kingsoft&#039;s investment push,Supplier averts default as guarantor steps in,Kingsoft spin-off Cheetah Mobile eyes US$300M in New York IPO,China broker GF Securities plans to raise up to US$1b in Hong Kong listing,Tencent stays ahead of the game,Chinese lingerie supplier Best Pacific seeks expansion funds,Investment slows on mainland as property cools,MTR&#039;s silence on delays offers test of how well the SFC protects investors,,,,,
00998,CITIC%20BANK,Citic Pacific agrees to asset acquisition from parent,Citic Pacific shareholders approve landmark deal,Citic Pacific to provide investors with details on 226.9b yuan asset deal,Citic Group&#039;s plan opens door to greater economic reforms,Citic Pacific&#039;s acquisition of Citic Group is merely state sleight of hand,Citic Pacific shares fallon asset deal approval,Money won’t come cheap as Chinese banks boost capital by issuing hybrid securities,Bungling bank robber fails to pull off two Hong Kong hold-ups in 48 hours,Chinese banks warned of growing bad loans,Big names line up to invest in Citic,,,,,
01111,CHONG%20HING%20BANK,Chongqing broker Southwest Securities buys Tanrich for HK$700m,Hong Kong yuan business lures non-local banks,Singapore’s OCBC to buy Wing Hang Bank for HK$38.4b,Singapore flexes muscles in bid to acquire assets with China footprint,OCBC chief Samuel Tsien confident on Wing Hang deal schedule,"Acquisitions no easy way for Singaporean banks to win in Hong Kong, mainland China",Four more Sha Tin flat owners threatened for opposing HK$260m renovation,Pan-democrat denies hidden agenda in meeting with Zhang Xiaoming,"‘Don’t have high expectations’ over Shanghai meeting with officials, warns lawmaker",Hong Kong business elite demand 2017 universal suffrage in open letter,,,,,
01216,ZYBANK,,,,,,,,,,,,,,,
01288,ABC,ABC news anchor Diane Sawyer signs off to pursue new challenge,China grants Australian broadcaster ABC landmark media access,Australian broadcaster in online content deal with Shanghai group,"By axing Australia Network, Abbott&#039;s lost sight of the big picture",Australian Broadcasting Corporation loses contract to run Australia Network,Promotion of young Chinese banker with alleged military links sparks controversy online,Wine Opinion: Californian chardonnay comes in from the cold,&#039;Mystery flaming object&#039; spotted crashing to Earth in Australia,Barbara Walters signs off after 52 years on American television,CCB&#039;s London clearing bank prize seen as a major yuan milestone,,,,,
01398,ICBC,ICBC beats predictions with 7 per cent profit rise in first quarter,ICBC mulls bid for Pioneer to extend global reach in asset management,Property tycoon Zeng Wei jailed for offering millions as bribe to former ICBC banker,ICBC a laughing stock after inept effort to cook up orders,Citic Securities chairman Wang Dongming fined for ICBC remarks,Canadian police agree to let Chinese drivers use mainland licences,"Property tycoon Zeng Wei likely to plead guilty to one charge, lawyer says",Fugitive tycoon Zeng Wei to return to Hong Kong to face justice over bribery scandal,Mainland China banks to sell stock to bolster capital,Chinese banks warned of growing bad loans,,,,,
01551,GRCB,,,,,,,,,,,,,,,
01578,BANK%20OF%20TIANJIN,Why few retail investors might board the &#039;through train&#039;,Hong Kong brokers left out by new &#039;through train&#039; plan,Beijing-Tianjin-Hebei megalopolis intended as showcase for economic reform,Hong Kong must seek out technology alliances,Business park developer sets 4b yuan floor area target,Senior banking regulator who helped restructure China&#039;s trust sector dies ,Scientists propose building 160km pipe to funnel polluted Bohai drinking water to Beijing,HSBC boosts oversight on metals financing in wake of Qingdao probe,"SMEs key to China&#039;s growth, yet they struggle with high wage, credit costs",China poised for launch of first reit,,,,,
01658,PSBC,,,,,,,,,,,,,,,
01963,BCQ,,,,,,,,,,,,,,,
01988,MINSHENG%20BANK,HKEx and China Minsheng Banking sign commodity agreement,Required reserves cut extended to more lenders,Preferred shares rush expected,Hong Kong yuan business lures non-local banks,Rooftop solar projects in China hindered by cautious bank lending,Asian banks snap up prime office space in Central,HKEx metals contracts aim to pave way for future mainland tie-ups,Chinese shipyards leave banks holding bag for late projects,Chinese banks warned of growing bad loans,,,,,,
02016,CZBANK,,,,,,,,,,,,,,,
02066,SHENGJINGBANK,,,,,,,,,,,,,,,
02356,DAHSING%20BANKING,,,,,,,,,,,,,,,
02388,BOC%20HONG%20KONG,Yuan life insurance policies to remain popular in Hong Kong despite depreciation,China&#039;s property developers&#039; default risk poses funding threat,China investment banks making market inroads,Hong Kong is struggling with a 48-year-old problem,Metals demand to slow in line with economy,WH Group massively cuts back Hong Kong listing,Growing demand spurs borrowing costs of offshore yuan in Hong Kong,"Beijing still among China&#039;s most competitive cities despite smog, report says",China Southern Airlines in Xinjiang begins self-defence classes for flight attendants,Chinese Premier Li Keqiang takes wife on state visit for first time,,,,,
02888,STANCHART,StanChart forecast earnings fall stuns market ,Standard Chartered hit by weakness in Asian currencies,Japan&#039;s Orix eyeing Standard Chartered&#039;s PrimeCredit unit,Standard Chartered braced for more gloom,Metals probe at Qingdao Port cuts appetite for debt risk,Yuan hedging for Chinese corporates next driver,Central banks&#039; investment in yuan puts currency nearer reserve status,Restaurant reviews: Mott 32 and Motorino,,,,,,,
03328,BANKCOMM,,,,,,,,,,,,,,,
03618,CQRC%20BANK,,,,,,,,,,,,,,,
03698,HUISHANG%20BANK,,,,,,,,,,,,,,,
03866,BQD,,,,,,,,,,,,,,,
03968,CM%20BANK,Rise of the workplace robots makes humans increasingly redundant,Italy recovers stolen Gauguin that hung in man&#039;s kitchen for 40 years,How to create a stylish mini-farm at home,Underground explosions help shape new MTR station at Admiralty,,,,,,,,,,,
03988,BANK%20OF%20CHINA,Bank of China vice-president resigns after allegations of affairs,Bank of China plans to launch yuan bonds in Luxembourg,People&#039;s Bank of China tool allows free flow of funds in Shanghai,Agricultural Bank of China aims to raise 80b yuan,Agricultural Bank of China warns branches of loan risks,HKMA sees little risk in bank loans to China,World Bank sees risks as China rebalances,CCB&#039;s London clearing bank prize seen as a major yuan milestone,World Bank cuts growth forecast for China to 7.6pc,World Bank cuts growth forecast for China to 7.6pc,,,,,
06122,JIUTAI%20RCB,,,,,,,,,,,,,,,
06138,HARBIN%20BANK,Medical and tech firms to lead next IPO wave,"Chengdu mainland&#039;s most liveable city, says Asia Development Bank",US$20m China aircraft gift has unintended repercussions on Tonga,Afro-Chinese marriages boom in Guangzhou: but will it be &#039;til death do us part&#039;?,,,,,,,,,,,
06196,BANKOFZHENGZHOU,,,,,,,,,,,,,,,
06818,CEB%20BANK,,,,,,,,,,,,,,,
