Symbol,Name,News1,News2,News3,News4,News5,News6,News7,News8,News9,News10,News11,News12,News13,News14,News15
00005,HSBC%20HOLDINGS,Chart of the day: How trade and investment add up,China Taiping perpetual bond to raise US$600m,HSBC aims to raise €1.5b in convertible bond issue,Chart of the day: China a magnet for foreign funds,Hong Kong issues first Islamic bond to raise up to US$1b,Bocom mulls stock incentives for executives,Investors dump Singyes shares on bond issue plan,"European renminbi payments double, with Britain and Germany leading way",BOC beefs up in push for larger share of debt market,HSBC and Citi compete for Asian bond supremacy,,,,,
00011,HANG%20SENG%20BANK,Hang Seng Bank net profit tumbles 54pc,New additions to HSI family likely with through train share scheme,Thai payment link-up boosts Hong Kong hub role,A new chapter for the Hang Seng Index,Small brokers pass up through train ticket,Are you ready for Occupy Central? HKMA to check on Hong Kong&#039;s banks,Foreign banks in Shanghai free-trade zone lack permits to transfer funds freely,Hong Kong issues first Islamic bond to raise up to US$1b,SOE chiefs could be next target of anti-graft campaign,Hong Kong iBonds attract strong investor interest,,,,,
00023,BANK%20OF%20E%20ASIA,BEA gains 3pc on plan to sell shares to Sumitomo Mitsui,"Bank of East Asia profits rise 6pc, thanks to increase in mainland lending",Programme eyes new solutions in Asia-Pacific banking from start-ups,YMFG grows banking and financial services across Asia,Singapore&#039;s OCBC wraps up takeover of Wing Hang Bank,Deutsche co-chief for Asia an unabashed bull,Standard Chartered nears sale of PrimeCredit consumer unit,Deutsche Bank offers ICBC executive Zhang Hongli a settlement deal,ANZ Bank faces regional talent squeeze as top executives depart,Ringgit is best carry bet amid rate rise outlook,,,,,
00416,BANKOFJINZHOU,,,,,,,,,,,,,,,
00440,DAH%20SING,Dah Sing profit climbs 29pc on lower China lending,Property tycoons active as buybacks rise for third week,Businessman Balram Chainrai&#039;s ex-secretary faces 11 new counts of theft and fraud,Hong Kong iBonds attract strong investor interest,"Beijing to take a more active role in Hong Kong&#039;s affairs, hints Xi Jinping",,,,,,,,,,
00626,PUBLIC%20FIN%20HOLD,I Hate That Guy,Pools closed and beaches unsupervised as lifeguards hold public holiday strike,Men still hold most top jobs in Hong Kong public sector,Time for Chief Executive Leung Chun-ying to hold a political reform summit,"Consortium of Sino Land, Chinese Estates Holdings wins deal to redevelop Kwun Tong",IWC gives indigenous Greenlanders go-ahead to kill hundreds of whales,"Putin, Abe hold talks as Russian leader&#039;s Japan visit threatened by Ukraine row",Plan to build flats on site earmarked for Science Park growth put on hold,Lenovo start-up fund to float more holdings,What was really behind &#039;Uncle Tung&#039;s&#039; public show?,,,,,
00939,CCB,CCB says pay cuts for executives in line with global standard,China Taiping perpetual bond to raise US$600m,"Fujian Nuoqi red flags should have been spotted before IPO, analysts say",China Rundong falls below IPO price,"China funding costs rise, Beige Book shows",ZTE gears up for increase in 4G projects in second half,Fujian Nuoqi alerts police to cash transfers of missing chief Ding Hui,Due diligence by IPO sponsors paramount,Executive director at trouble-hit Fujian firm steps down,Lenovo in &#039;attack&#039; mode after record market share gains,,,,,
00998,CITIC%20BANK,"Like Bank of China, Citic Bank also offers service branded &#039;money laundering&#039; by CCTV",Citic pay lean amid banking&#039;s fat cats,Mainland China banks embrace preferred shares but investors are left guessing,CBRC orders banks to create firewall around wealth management services,"What you liked, July 12, 2014",Citic unveils new board line-up ,Banks rush to open branches before Shanghai free-trade zone anniversary,Yuan trade settlement value declines by 12pc in July,Chinese developer&#039;s zero-interest loans highlights industry risks,Hong Kong and mainland creditors seek Lehman Brothers payout,,,,,
01111,CHONG%20HING%20BANK,Jobless woman robbed banks &#039;because she was depressed&#039;,Banking and finance jobs in Hong Kong,"Beijing to take a more active role in Hong Kong&#039;s affairs, hints Xi Jinping",Health-care firm Hing Sang to raise HK$220.6m,"Long-term Gaza deal hinges on Israeli security, says Netanyahu",Dah Sing profit climbs 29pc on lower China lending,OCCUPY CENTRAL- DAY TWO: Full report of the day&#039;s events,The A-Z of Hong Kong Street Food,"Occupy Central a danger to the Hong Kong property market, Barclays Bank warns",Hong Kong Monetary Authority chief Norman Chan adds to gloom on economy,,,,,
01216,ZYBANK,,,,,,,,,,,,,,,
01288,ABC,"ABC Communications tumbles after arrest of chairman, driver",Australian father charged with sexually abusing surrogate twin daughters,Balance and blame over asymmetric war in Gaza,"Sarah Palin&#039;s family in beer-fuelled brawl, reports from Alaska say",Outrage over image of Australian boy with Syrian soldier’s severed head,"Cranston, Margulies, Louis-Dreyfus and Parsons win Emmys",Book Now,Agricultural Bank of China chief backs pay cuts for executives,Australian tycoon Clive Palmer apologises for calling Chinese ‘mongrels’,Australian mining mogul Clive Palmer rebuked for tirade against China,,,,,
01398,ICBC,ICBC issues offshore yuan bond in Singapore,Zhang Hongli lawsuit &#039;will hurt Deutsche Bank&#039;s ICBC relationship&#039;,ICBC profit up 7 per cent as bad loans held in check,ICBC&#039;s aircraft-leasing arm aims to double number of planes,Deutsche Bank offers ICBC executive Zhang Hongli a settlement deal,ICBC executive sued by ex-employer Deutsche Bank over US$4 million transfer ,Mainland China banks embrace preferred shares but investors are left guessing,Tianjin leads China in plane leasing,Chinese lenders boost precious metals stock amid rising demand,Kingsoft software to capitalise on Microsoft&#039;s Office woes in China,,,,,
01551,GRCB,,,,,,,,,,,,,,,
01578,BANK%20OF%20TIANJIN,China’s Evergrowing Bank hit by 4b yuan credit product default,Tencent gets official approval to create private bank in Qianhai,China central bank sees role for shadow banking,Tianjin leads China in plane leasing,Li Keqiang leaves world business leaders disappointed at Tianjin economic forum ,Ghost buildings haunt Tianjin&#039;s &#039;Manhattan&#039; project,Don&#039;t look to bankers to prevent the next global financial crisis,Commodity financing probe extends to petrochemical imports,Sunac reports 21pc rise in first-half core net profit to 1b yuan,"Developer Cifi has no need for rights issue, says chairman Lin Zhong",,,,,
01658,PSBC,,,,,,,,,,,,,,,
01963,BCQ,,,,,,,,,,,,,,,
01988,MINSHENG%20BANK,China Minsheng Bank chairman quits,Low dividend hits Minsheng shares,Minsheng fund goes all out in bid for pricey Shanghai site,Chinese regulators keep foreign credit card issuers on tight leash,China orders more than 200 top officials to quit company positions,Online liquor store Jiuxian lands 300m yuan investment,Lenders freeze Fujian Nuoqi deposits as hunt for chairman continues ,Banks rush to open branches before Shanghai free-trade zone anniversary,CBRC orders banks to create firewall around wealth management services,Business jet slump fails to deter new players,,,,,
02016,CZBANK,,,,,,,,,,,,,,,
02066,SHENGJINGBANK,,,,,,,,,,,,,,,
02356,DAHSING%20BANKING,,,,,,,,,,,,,,,
02388,BOC%20HONG%20KONG,Bank of China beats expectations with 11pc boost in first-half profit,Jump in bad loans sparks sell-off in Chongqing Rural Commercial Bank shares,"Stocks set to fall at open, authorities pledge smooth market operations as Occupy protests extend",Bank of China-CCTV drama may reveal power struggle in Beijing,Heat from CCTV exposé unlikely to hit mainland cash outflows,Chinese place a third of Airbus A320 orders at Farnborough Airshow,"Like Bank of China, Citic Bank also offers service branded &#039;money laundering&#039; by CCTV",Fujian Nuoqi alerts police to cash transfers of missing chief Ding Hui,"Agricultural Bank, BOC to raise up to US$29b worth of preference shares",WH to raise HK$15b in heavily oversubscribed IPO,,,,,
02888,STANCHART,HSBC and StanChart pin growth hopes on rate rises,StanChart sues over metal fraud claims,HKMA blames StanChart&#039;s NY office for anti-money laundering failures,Standard Chartered nears sale of PrimeCredit consumer unit,Standard Chartered first-half profits plummet 20pc,Three more banks gain approval to import gold into China,Standard Chartered&#039;s new Hong Kong chief May Tan eyes China growth,,,,,,,,
03328,BANKCOMM,,,,,,,,,,,,,,,
03618,CQRC%20BANK,,,,,,,,,,,,,,,
03698,HUISHANG%20BANK,Huishang Bank net profit up 15.78pc,Chinese city lenders face dim prospect for listings in Hong Kong,,,,,,,,,,,,,
03866,BQD,,,,,,,,,,,,,,,
03968,CM%20BANK,"Hurricane Arthur slams eastern Canadian provinces, causing power cuts",1 million in gold thrown out with the rubbish; 7 million yuan fine for unpaid water bills,"France battles invasive Asian hornet species, which threatens biodiversity","Chopstick up boy’s nose; virtual romance; British woman becomes urban cop in Hunan; addict sells daughter, 3, for drugs; judge suspected of rape",Free spirit&#039;s positive energy,,,,,,,,,,
03988,BANK%20OF%20CHINA,"Like Bank of China, Citic Bank also offers service branded &#039;money laundering&#039; by CCTV",BOC asset arm seeks 1 billion RQFII yuan quota for European investors,BOC beefs up in push for larger share of debt market,Heat from CCTV exposé unlikely to hit mainland cash outflows,China must come clean on capital transfers abroad,Fears of tough action by Beijing following allegation BOC launders money,"BOC, Agricultural Bank to allow relaxed mortgage policies",Bank of China-CCTV drama may reveal power struggle in Beijing,Investing between the lines in China,Second Agricultural Bank of China executive leaves,,,,,
06122,JIUTAI%20RCB,,,,,,,,,,,,,,,
06138,HARBIN%20BANK,Newly listed banks see profits soar,Chinese city lenders face dim prospect for listings in Hong Kong,Jump in bad loans sparks sell-off in Chongqing Rural Commercial Bank shares,Investors rush into &#039;new economy&#039; as old industries snubbed,Money safe after truck carrying 1 billion yuan rolls over on northeastern China highway,State media push for equity investing,BNP report pinpoints mainland&#039;s healthiest property markets,,,,,,,,
06196,BANKOFZHENGZHOU,,,,,,,,,,,,,,,
06818,CEB%20BANK,,,,,,,,,,,,,,,
