Symbol,Name,News1,News2,News3,News4,News5,News6,News7,News8,News9,News10,News11,News12,News13,News14,News15
00005,HSBC%20HOLDINGS,HSBC CEO Gulliver believes lower bank profitability the new normal,"Director buying surges in HK, while selling declines","HSBC’s Q4 earnings result misses estimates, shares plunge most in 18 months",A competition regulator is the only hope for Hong Kong,Hong Kong’s main stock index closes Year of the Monkey up 21pc,"HSBC’s chief executive reiterates plan to relocate 1,000 staff to Paris as part of Brexit shakeup",Banks welcome UK Brexit plan but eye relocating from London anyway,Global banks brace for Trump-related risks,Hong Kong stocks rally as British PM’s Brexit speech cheers global markets,2016 a record breaking year for buybacks by Hong Kong listed firms,,,,,
00011,HANG%20SENG%20BANK,Hang Seng Bank cuts risky China lending after full year profits fall 41pc,Investor survey finds mainland and Hong Kong investors upbeat on markets close to home,Hong Kong stocks dragged down by HSBC’s worst slump since Brexit,"Banks, brokers and exchanges eye more gold, currency products",Offshore yuan reverses overnight gains to trade lower after US rate rise,"Number of firms registered in Qianhai rises 68 per cent, but small players can’t get a look in",HSBC to launch voice recognition in Hong Kong for phone banking,Hong Kong’s currency issuing banks processed money laundered by Russian criminals: Organized Crime and Corruption Reporting Project,Mainland China stocks cheered by hopes of pension fund buying; Hong Kong investors await earnings reports,"Nine more base rate rises by end of 2019, says HKMA",,,,,
00023,BANK%20OF%20E%20ASIA,"BEA headcount shrinks by 10 per cent, as annual profits slump 32pc","Bank of East Asia, Elliott Management legal dispute returns to court","Faced with legal hurdles, watchdog did not question Bank of East Asia head during Donald Tsang probe",Bank of East Asia staff let their hair down and give back to those in need,"Hong Kong faecal donor recruitment drive draws 10,000 applications to Asia Microbiota Bank","Asia ‘not turning in on itself’, says State Bank of India chief","Chinese banks to tap AI for more ‘human’ customer experience, survey says",Hinduja Bank delivers Swiss banking with Asian characteristics,VP Bank leads Asian private banking clients and intermediaries safely ahead,HSBC to launch voice recognition in Hong Kong for phone banking,,,,,
00416,BANKOFJINZHOU,,,,,,,,,,,,,,,
00440,DAH%20SING,Chinese funds find sweet spot in city’s insurance sector,UCF Capital buys Hong Kong Life as Chinese funds rush into city’s insurers,,,,,,,,,,,,,
00626,PUBLIC%20FIN%20HOLD,Shark fins ‘discovered’ in Hong Kong cargo of freight companies that have banned product,China’s big institutional investors see stock holdings fall to historical low,Beijing yanks license of Fang Holdings’ unit for defying rules on converted flat listings,Legend Holdings wants to ‘spin off subsidiaries’ for listing in Hong Kong from mid-2018,Lenovo parent CAS Holdings to launch start-up focused bank and insurance company,Occupy leaders each face public nuisance charges over 2014 Hong Kong protests,Hong Kong chief executive candidate John Tsang holds outdoor rally as Carrie Lam bags pro-Beijing pledges,Occupy leaders make first Hong Kong court appearance flanked by 100 supporters with yellow umbrellas,"Joey Yung shines in a parade of beautiful choreography, stylish fashion and special songs",LeEco-owned Coolpad halts trading of shares in Hong Kong,,,,,
00939,CCB,Cost cutting delivers profit growth for China state-owned banks CCB and ICBC,CCB way ahead of other state lenders in debt for equity swaps,Chinese seasonal favourites hit the spot at Howard’s Gourmet Workshop in Hong Kong,"China’s banks need coordination for debt-equity swaps, CCB says",Bank of China beats estimates to post strongest profit rise among big state-owned banks,Hong Kong probing overseas property scams that cost buyers HK$500m in losses,Chinese banks feel pinch from falling interest income,Ousted Yingde directors file police report accusing chairman of fraud,Chinese investors grapple with financial implications of debt-equity swaps,Hong Kong’s main stock index hits 18 month-high after Wall Street rally,,,,,
00998,CITIC%20BANK,"In landmark ruling, Vancouver homebuyer is ordered to repay millions to China’s Citic Bank",Chinese banks feel pinch from falling interest income,"Citic rings in better-than-expected 2016 net profit, looks to close McDonald’s deal by July","Belt and road is ‘Marshall Plan without a war’, analysts say, as Beijing and banks woo private-sector investors","Taking the initiative: China pushes ahead with strategy to establish One belt, One Road",Hong Kong brokerage CLSA closes America arm,China’s tech giants have a bold plan to monetise their user base-- become their banker,Central China education group YuHua to launch HK$1.9b IPO,A Vancouver firm offers clients ‘new identities’. Its customers have included Chinese criminals,"Crocs, traitors and scarecrows abound but lieutenants are scarce",,,,,
01111,CHONG%20HING%20BANK,UCF Capital buys Hong Kong Life as Chinese funds rush into city’s insurers,"Financial firms lead in gender diversity, but men still dominate the top jobs",Standard Life Asia sold to Chinese joint venture,Chinese funds find sweet spot in city’s insurance sector,Hong Kong Life Insurance sold for HK$7.1 billion,John Tsang quit finance minister job after row with Chief Executive Leung Chun-ying over budget,Carrie Lam qualifies for Hong Kong leadership race just short of winning post,"BEA bank clerk ‘does not recall in detail’ withdrawal of HK$350,000, allegedly given to Donald Tsang, court hears",How best to increase women’s participation in the workforce?,Hong Kong hopes for business services boom from AIIB club,,,,,
01216,ZYBANK,,,,,,,,,,,,,,,
01288,ABC,The ABCs of Journaling is a lovely-looking celebration of slow living,Agricultural Bank of China beats expectations on cost savings,The ABC of kindergarten politics among pan-dems,Zhou Youguang’s extraordinary role in making the Chinese language as easy as ABC,Hollywood star Priyanka Chopra is the sparkling new face of diamond jeweller Nirav Modi,Australians ready the sandbags as ‘very destructive’ Cyclone Debbie approaches,Thousands evacuated after Cyclone Debbie causes severe flooding in Australian towns,"Trump, back in attack mode, blames Republican hardliners for health debacle","One killed, at least 14 wounded in Ohio nightclub shooting",Working against Lam could backfire for pan-dems,,,,,
01398,ICBC,Cost cutting delivers profit growth for China state-owned banks CCB and ICBC,Chinese banks feel pinch from falling interest income,China’s Big Four banks cut jobs as tech takes toll on tellers,"China’s ICBC overtakes Wells Fargo as world’s most valuable bank brand, says survey","Hong Kong, mainland stocks close lower on liquidity concerns",BoCom results improve despite bank being ‘under great pressure’,Bank of China beats estimates to post strongest profit rise among big state-owned banks,Mainland China stocks post best quarterly gain since 2015,ICBC signs debt-for-equity swaps with seven Chinese companies,"Hong Kong, mainland stocks lose ground as sentiment hurt by Beijing’s new property curbs",,,,,
01551,GRCB,,,,,,,,,,,,,,,
01578,BANK%20OF%20TIANJIN,ANZ sells stake in Shanghai Rural Commercial Bank for 9.2bn yuan,Chinese January mortgage growth hits record high,Seeing double: cloned pigs go on display at China safari park,Sinopec profit jumps 44 per cent on cheaper crude and pipeline sales,Standard Life Asia sold to Chinese joint venture,Call for criminal penalties for ‘negligent’ Chinese parents,Chinese delegate claims ‘illegal’ African migrants pose dangers to city and residents,Death by a thousand job cuts: the human cost of China’s zombie firms,"Close associate of Xi Jinping tipped to head China’s top planning agency, sources say",The tenacious political survivor tipped for key economic role among China’s ruling elite,,,,,
01658,PSBC,Postal Savings Bank’s first post-listing profit beats estimates,,,,,,,,,,,,,,
01963,BCQ,,,,,,,,,,,,,,,
01988,MINSHENG%20BANK,Chinese banks halt mortgage lending after reaching 1st quarter quota on new loans: report,Skyway becomes latest Hong Kong broker to be bought by mainland buyers,Xi Jinping joins calls for more control of financial risks,China’s Big Four banks cut jobs as tech takes toll on tellers,China’s central bank leads charge to shine regulatory light on the risky business of shadow banking,China’s insurance regulator tightens licence approvals to cool sector,Riskier investment likely by China’s insurers,Chinese conglomerates to continue targeting overseas financial institutions,"China would ‘never’ launch currency war, says central bank vice-governor",Central China education group YuHua to launch HK$1.9b IPO,,,,,
02016,CZBANK,,,,,,,,,,,,,,,
02066,SHENGJINGBANK,,,,,,,,,,,,,,,
02356,DAHSING%20BANKING,,,,,,,,,,,,,,,
02388,BOC%20HONG%20KONG,Bank of China beats estimates to post strongest profit rise among big state-owned banks,Fed lift-off unlikely to trigger rapid outflows from Hong Kong,Hong Kong investment banks brace for shocks as competition intensifies,"Champion racehorse or movie star, the secret’s the same: Grasp the opportunity","The BMW Hong Kong Derby – A contest for speed and glory, on the track as on the road!",Foodies&#039; paradise: taste festival 2017 showcases world-class cuisine to Hong Kong diners,Chinese financial firms grab bigger share of Hong Kong IPO deals,Hong Kong’s main stock index hits 18 month-high after Wall Street rally,Five ways to add pizzazz to your spring wardrobe,Hong Kong menswear designer Joseph Li on having his own label after years as Shanghai Tang womenswear head,,,,,
02888,STANCHART,"Standard Chartered results ‘not yet where they need to be,’ says CEO",Hong Kong banks’ full year earnings results may be affected by difficulties in overseas operations,China’s ‘silver’ economy offers promising outlook for services sector,Why there’s no longer any reason to refuse employees the choice of their MPF managers,Swiss banker jailed in Singapore over Malaysia’s 1MDB saga,,,,,,,,,,
03328,BANKCOMM,,,,,,,,,,,,,,,
03618,CQRC%20BANK,,,,,,,,,,,,,,,
03698,HUISHANG%20BANK,,,,,,,,,,,,,,,
03866,BQD,,,,,,,,,,,,,,,
03968,CM%20BANK,This revered turtle was offered coins as a blessing. She ate 5kg of them and nearly died,The South Korean prosecutor known as the ‘Chaebol Grim Reaper’ takes aim at Samsung heir,Bots the big idea: humanoid robots finally ready to move into our homes,Bring it on: ‘The Leech’ Li Jingliang stakes a claim for greatness after devastating UFC win,Old Hong Kong remembered; bas-relief at Sai Ying Pun MTR station strikes a chord ,Missing gold on a Hong Kong hillside? History buffs return to plane crash site in search of truth- and treasure,,,,,,,,,
03988,BANK%20OF%20CHINA,The architect family behind Hong Kong’s Bank of China Tower,China’s central bank chief sees end of monetary road in reforms,"China should let yuan fall, says the latest economist to join call for central bank to change tack",Bank of China beats estimates to post strongest profit rise among big state-owned banks,Chinese banks feel pinch from falling interest income,"China raises money market rates to stabilise yuan and outflow, after Fed’s move",Why China can’t get rid of its bank credit obsession,Hong Kong’s historic old Bank of China building set for new life as private bank headquarters,Deutsche Bank strategist: China’s growth story remains intact,China’s central bank turns tiger mum as it faces tough balancing act over monetary policy,,,,,
06122,JIUTAI%20RCB,,,,,,,,,,,,,,,
06138,HARBIN%20BANK,,,,,,,,,,,,,,,
06196,BANKOFZHENGZHOU,,,,,,,,,,,,,,,
06818,CEB%20BANK,,,,,,,,,,,,,,,
