Symbol,Name,News1,News2,News3,News4,News5,News6,News7,News8,News9,News10,News11,News12,News13,News14,News15
00005,HSBC%20HOLDINGS,HSBC to sell assets in Bermuda,Credit Suisse joint venture wins securities broking licence in Qianhai,"HSBC’s Q3 pre-tax profit up 32 per cent, tops expectations",Standard Chartered gets stress test pass from Bank of England,"Hong Kong stocks end higher after late rally, closing the week with a 1.6pc advance ","The US$27 billion yuan future and option business is free from mandatory clearing, for now",HSBC shifts derivatives trades to Hong Kong as decision to move HQ out of London looms,Chinese currency’s inclusion in IMF basket a ‘historic opportunity’ for Hong Kong,China stocks jump amid global rally on Fed minutes,Southeast Asia&#039;s stronger economic growth may be weaker than it seems,,,,,
00011,HANG%20SENG%20BANK,Operation Santa Claus: Hang Seng staff go back to the classroom to help underprivileged Hong Kong primary students,Fed rate rise sparks caution in China as Hong Kong braces for cash outflow,"ATV had more than HK$9 million in the bank while staff went unpaid, Hong Kong court told",Future remains weak for Hong Kong growth: goverment predicts 2.4 per cent for year,"Hong Kong Airport third runway proposal to take off with HK$5 billion loan, authority chief says",MPF whales likely to swallow minnows in changing market,Here’s why more consolidation is likely among MPF providers,Seven funds get the nod for cross-border sales between Hong Kong and mainland China,"In Hong Kong, zero interest rate lives on","Bank of China to lose share of cross-border yuan clearing, at least in short run",,,,,
00023,BANK%20OF%20E%20ASIA,Bank of East Asia director grazes two cars in Hong Kong accident,"Market Talk: payments system news, malware and debt at Bank of East Asia",China’s economic slowdown leads World Bank to trim developing East Asia growth forecast,"ANZ’s CFO Elliott to take helm, says bank will press on with Asia strategy",Deal watch: Asia-Pacific investment banking in the first nine months ,"Top 7 heliski destinations in Asia, Europe that won&#039;t break the bank, and one that might",Credit Suisse looks to double Asia-Pacific income by 2018,Rise of Asian Infrastructure Investment Bank and New Development Bank reinforces need for World Bank/IMF reform,Click&#039;n&#039;buy: rushed Hongkongers can make online purchases faster as Visa Checkout comes to town,"Half of Hong Kong&#039;s millionaire entrepreneurs are women, earning more than their male counterparts: New international study",,,,,
00416,BANKOFJINZHOU,,,,,,,,,,,,,,,
00440,DAH%20SING,Hong Kong girls score goals for charity,"Hong Kong parents expect to spend millions for kids to secure a university degree, good job and property, study shows",Is this your credit card? Hong Kong Monetary Authority presses banks over 1.25 million credit cards read by unauthorised parties,"In Hong Kong, zero interest rate lives on",Click&#039;n&#039;buy: rushed Hongkongers can make online purchases faster as Visa Checkout comes to town,Banks storing too much data in credit cards: Expert criticises Hong Kong banks over security flaw,,,,,,,,,
00626,PUBLIC%20FIN%20HOLD,"Hong Kong airport bust: Seahorses, shark fins discovered in two operations ","After winning against whale meat, now for the shark fin trade: Marine geneticist Stephen Palumbi ",Why Hong Kong couples are opting for no-frills weddings ,Hong Kong leader CY Leung is playing ‘hunger games’ with public universities,"Singing Thai Junta leader pens new ballad as he silences his critics, leaving public to face the music",War of words: Carrie Lam says Hong Kong government adviser on retirement protection doesn’t fully understand public financing,Hong Kong&#039;s public rent hopes slashed as 10-year housing target is lowered,"China, US to hold high-level talks on hacking, cybersecurity","Expensive taste: Chinese city party official punished for ‘spending HK$85,000 on one meal’","Interrogation chairs ‘padded for comfort’, claims Chinese official as Beijing denies torturing or holding political prisoners",,,,,
00939,CCB,ZTE eyes overseas projects as profits rise,Electronic point of sale market facing challenges,China Construction Bank in talks to buy London Metal Exchange broker Metdist,China’s Tencent partners with Glu Mobile to bring popular WeFire mobile shooter game to international markets,China Construction Bank joins global list of systemically risky banks,London Metal Exchange seeks to widen China&#039;s access to commodities market,"One Belt, One Road, One ZTE: Chinese telecoms giant says revenue could hit US$30b by 2020 if 5G plans stay on song",Better-than-expected revenue rise set to boost Alibaba&#039;s expansion plans,AAG Energy to offset Beijing gas price cuts by boosting output and efficiency,Tips from China’s richest man: Wang Jianlin shares his secrets to success as Dalian Wanda goes global,,,,,
00998,CITIC%20BANK,China’s Citic Bank and Baidu to set up online bank venture,Banks storing too much data in credit cards: Expert criticises Hong Kong banks over security flaw,Is this your credit card? Hong Kong Monetary Authority presses banks over 1.25 million credit cards read by unauthorised parties,China shares higher on economic reform hopes,US rate hike: How will it affect Hong Kong banks?,Funds frozen in China P2P cleanup,Pictured: The six CITIC executives ‘missing’ amid China’s crackdown on financial sector ,China stocks halt four-day win streak amid renewed growth fears ,Reform of China’s booming internet financial services comes as fraud cases highlight lack of efficient industry regulation,Hong Kong stocks end modestly lower ahead of Fed minutes for October,,,,,
01111,CHONG%20HING%20BANK,"In Hong Kong, zero interest rate lives on","Hong Kong renovation contractor found guilty over HK$600,000 bribe at Mei Foo housing estate",Innovative metal ceilings and louvres set DML Products apart,Hong Kong Democratic Party leader Emily Lau decides not to seek re-election in 2016,China shares higher on economic reform hopes,Mainland Chinese investors bank on party boost for economy,All-new Hong Kong Warriors aim to represent on debut tour of Philippines,"Businesses hopeful as China pledges measures to help cut costs, including lower tax rates and social welfare contributions",Mainland China says goodbye to near-term Taiwan bank deals,Yuan weakens to lowest close in more than four years as stock markets also fall,,,,,
01216,ZYBANK,,,,,,,,,,,,,,,
