Symbol,Name,News1,News2,News3,News4,News5,News6,News7,News8,News9,News10,News11,News12,News13,News14,News15
00005,HSBC%20HOLDINGS,China July HSBC services PMI holds steady at 51.3 ,"Hong Kong shares slip from near eight-month high, HSBC tumbles",Investors punish HSBC shares after interim result ,BlackRock says executive turned down RBS offer ,HSBC wins approval of record US$1.9b money-laundering settlement,City’s elite pay respects to top banker,ANZ posts 12pc rise in Q3 profit; flags margin pressure,More British bankers earn 1m euros than in rest of EU: study,Massive revamp may squeeze HSBC returns,CCB exit is end of era for overseas lenders,,,,,
00011,HANG%20SENG%20BANK,"HSBC, BOCHK and Hang Seng Bank still dominate banking in Hong Kong",Hang Seng plans etf after winning quota,Hang Seng net rises to beat forecasts,Hang Seng unit first offshore firm with RQFII quota,Hang Seng fine-tunes branch strategy,Hang Seng&#039;s flexible offers,City’s elite pay respects to top banker,Powerful elite say farewell to Lee Quo-wei,Investors punish HSBC shares after interim result ,Hong Kong&#039;s elite pay their respects to banker Lee Quo-wei,,,,,
00023,BANK%20OF%20E%20ASIA,Bank of East Asia profit expected to drop 13pc in first half,"Bank of East Asia interim profit up 13pc on interest, property values",Hong Kong&#039;s family-owned banks struggle with succession as top executives age,DZ Bank supports co-operative bank businesses in Asia,Bank of East Asia seeks to have former chief secretary Rafael Hui declared bankrupt ,Six Hong Kong banks offer spruced up credit card to cash in on summer spending,ANZ counts on Asia-Pacific to drive growth,Moody&#039;s lowers debt rating for 6 banks,Nomura lures two more bankers from US rival,ADB cuts growth forecasts for developing Asia,,,,,
00416,BANKOFJINZHOU,,,,,,,,,,,,,,,
00440,DAH%20SING,Hong Kong family-owned bank Dah Sing open-minded about a possible merger,Six Hong Kong banks offer spruced up credit card to cash in on summer spending,Chong Hing sale talk puts others in the frame,Wing Hang shares soar on takeover approach,Bank of China raises fixed rates for Hong Kong mortgages,Hong Kong&#039;s family-owned banks struggle with succession as top executives age,Directors show no signs of easing up on share purchases,Chinese city banks in talks with key investors,"Shanghai&#039;s plans won&#039;t affect Hong Kong, HSBC says",Bank of East Asia profit expected to drop 13pc in first half,,,,,
00626,PUBLIC%20FIN%20HOLD,China graft crackdown hits Hong Kong&#039;s &#039;Dried Seafood Street&#039;,China graft crackdown hits Hong Kong’s ‘Dried Seafood Street’ ,"Public opinion is turning against shark&#039;s fin, but official action is lacking",China media calls for an end to mooncake &#039;bribery&#039;,Cathay Pacific&#039;s ban on non-sustainable shark fin cargo delayed,"Shark fin, bluefin tuna off the menu at Hong Kong government banquets",Japan needs to raise sales tax next year: FinMin,Whistle-blower accuses China Resources chief of corruption,Ex-journalist to take China Resources &#039;corruption&#039; files to Hong Kong investigators,Pan-democrats have lost right to hold heads high,,,,,
00939,CCB,CCB exit is end of era for overseas lenders,"Hong Kong shares slip as CCB, Want Want sink after block deals",Slowdown clips CCB earnings growth,US bank to exit CCB in US$1.5b share sale,Bank of America sells CCB stake for $1.47 billion,China Construction Bank braces for rise in bad loans,Bank of America ends Construction Bank marriage,"Less toxic than before, but Cinda still isn&#039;t a great buy",SFC takes Tiger Asia to tribunal over &#039;insider trading&#039;,Alibaba’s Ma expands banking foray with China Minsheng tie-up,,,,,
00998,CITIC%20BANK,China Citic Bank braces for austerity challenges,More bad loans set to pile up at Chinese lenders,Yuan deposits see wide range in rates,"Shanghai ahead in China free-trade zone race, eclipsing Qianhai, Hengqin","Shanghai ahead in China free-trade zone race, eclipsing Qianhai, Hengqin",Moody&#039;s lowers debt rating for 6 banks,Merchants Bank cash call sparks sector sell-off in China ,Online services shake up China banking world,Elderly in China agonise over whether to take reverse mortgages,Chinese banks&#039; bad debt seen as twice official figure; capital raisings ahead,,,,,
01111,CHONG%20HING%20BANK,Chong Hing Bank target of possible takeover,"Hong Kong shares rise after China trade data, Chong Hing Bank jumps",Owner of Chong Hing in talks to sell stake,Woman robber nabbed after Tseung Kwan O bank hold-up,Legal battles mount for former chief secretary Rafael Hui,Chong Hing sale talk puts others in the frame,Hong Kong family-owned bank Dah Sing open-minded about a possible merger,Bank of East Asia seeks to have former chief secretary Rafael Hui declared bankrupt ,Wing Hang Bank net falls but beats forecasts,Ex-chief secretary Hui’s financial woes just keep piling up,,,,,
01216,ZYBANK,,,,,,,,,,,,,,,
01288,ABC,Disney’s ABC TV unit to lay off 2pc of staff: source,Agricultural Bank of China calls in Wison loans worth HK$235m,Florida juror says Zimmerman got away with murder,Australian troops investigated in Afghanistan,Trayvon Martin’s mother felt ‘disgust’ over Zimmerman verdict,Clubland,Pandora names former Microsoft executive Brian McAndrews as chief executive,"George Zimmerman’s wife files for divorce in Florida, lawyer says",Australian commercial TV networks refuse to run anti-Murdoch advert,"Credibility of the world and Congress on the line over Syria, Barack Obama says",,,,,
01398,ICBC,ICBC unit optimistic on yuan deposits,China bank workers laid off a decade ago demand better compensation,China’s big banks wave red flag over rising bad debts,"ICBC, Bank of China post higher profits",Bank of China fires back at ICBC in Africa,"ICBC, Bank of China post higher profits",Bank of America ends Construction Bank marriage,Huarong split over investor plan ahead of Hong Kong IPO,Crunch puts Big Four valuations near record lows,Six Hong Kong banks offer spruced up credit card to cash in on summer spending,,,,,
01551,GRCB,,,,,,,,,,,,,,,
01578,BANK%20OF%20TIANJIN,"China banks seen issuing hybrid debt to cope with bad loans, boost capital",Tianjin energy boss detained as graft probe widens,Zombie borrowers haunt China’s shadow banks,Bonds resume trajectory after summer siesta,Risk of imminent liquidity crisis seen as minimal,Shanghai free-trade zone to lead on yuan reform,Better pollution policies would mean longer lives for millions,Shanghai free-trade zone may be extended to cover Pudong,Qianhai pioneers gamble they will have the last laugh,Two more senior executives investigated in Zhou Yongkang corruption probe,,,,,
01658,PSBC,,,,,,,,,,,,,,,
01963,BCQ,,,,,,,,,,,,,,,
01988,MINSHENG%20BANK,Hong Kong shares close down 0.6pc on profit taking,Alibaba’s Ma expands banking foray with China Minsheng tie-up,PBOC seeks wider role for private sector,Pacific Textiles buys back stock; Longrun Tea chair ups stake in firm,Merchants Bank cash call sparks sector sell-off in China ,China Merchants up on rights issue news,"Hong Kong, Shanghai stocks jump on reform hopes",Merchants Bank raises 27b yuan in Shanghai offering,Tall buildings race needles construction experts,"HSBC, BOCHK and Hang Seng Bank still dominate banking in Hong Kong",,,,,
02016,CZBANK,,,,,,,,,,,,,,,
02066,SHENGJINGBANK,,,,,,,,,,,,,,,
02356,DAHSING%20BANKING,,,,,,,,,,,,,,,
02388,BOC%20HONG%20KONG,Competition for deposits to weigh on BOCHK,Kerry Logistics sets high aim for valuation in IPO,China’s big banks wave red flag over rising bad debts,Growing number of African entrepreneurs thriving in southern China,Premier League teams count cost of Asia tours,Zou Shiming chases his American dream,"Property agents march against cooling measures, stamp tax",Everbright Bank says nepotism played no role in JPMorgan hire,Haitong diversifies as fee war rages on,Typhoon Utor sinks cargo ship off Hong Kong,,,,,
02888,STANCHART,StanChart loans to China set to fall,StanChart agrees Qianhai loan deal,Standard Chartered scales back double-digit growth goal,Asia pays heavy price on front line of &#039;smoking epidemic&#039;,HSBC and Standard Chartered among first Shanghai free-trade zone banks,,,,,,,,,,
03328,BANKCOMM,,,,,,,,,,,,,,,
03618,CQRC%20BANK,,,,,,,,,,,,,,,
03698,HUISHANG%20BANK,Chinese city banks in talks with key investors,Share issues preferred for squeezed lenders,City commercial banks stand before new frontiers,Cinda to submit papers for Hong Kong IPO next month,"Small China banks envy big lenders&#039; Hong Kong listings, move to emulate them",,,,,,,,,,
03866,BQD,,,,,,,,,,,,,,,
03968,CM%20BANK,Hurricane Ingrid barrels its way towards Mexico,"Cold, hard truths of climate change are catching up with us",Sun Pegasus targets Balkans for star imports,Will World Cup soccer stadium in Amazon become a white elephant?,&#039;Pick-up artist&#039; Christopher Wu teaches Chinese men how to woo women,Revealed: Truth behind tragic secret execution of businessman Zeng Chengjie,,,,,,,,,
03988,BANK%20OF%20CHINA,Bank of China raises fixed rates for Hong Kong mortgages,Competition for deposits to weigh on BOCHK,Agricultural Bank of China first-half profit rises 15pc ,China’s big banks wave red flag over rising bad debts,"China benchmark money rate quoted at 6.5pc, but comes down fast","ICBC, Bank of China post higher profits",Agricultural Bank of China calls in Wison loans worth HK$235m,"ICBC, Bank of China post higher profits",Bank of China fires back at ICBC in Africa,Juneyao plans private bank in China,,,,,
06122,JIUTAI%20RCB,,,,,,,,,,,,,,,
06138,HARBIN%20BANK,,,,,,,,,,,,,,,
06196,BANKOFZHENGZHOU,,,,,,,,,,,,,,,
06818,CEB%20BANK,,,,,,,,,,,,,,,
